lead_id,lead_name,source,status,duplicate_count,absorbed_ids
LEA000001,Lead 0,Web,Qualified,0,
LEA000002,Lead 1,Web,Working,0,
LEA000003,Lead 2,Referral,Working,0,
LEA000004,Lead 3,Event,Converted,0,
LEA000005,Lead 4,Event,Converted,0,
LEA000006,Lead 5,Referral,Converted,0,
LEA000007,Lead 6,Web,New,0,
LEA000008,Lead 7,LinkedIn,New,0,
LEA000009,Lead 8,LinkedIn,New,0,
LEA000010,Lead 9,Web,Working,0,
LEA000011,Lead 10,LinkedIn,Qualified,0,
LEA000012,Lead 11,LinkedIn,Qualified,0,
LEA000013,Lead 12,Event,Converted,0,
LEA000014,Lead 13,Event,Converted,0,
LEA000015,Lead 14,Referral,New,0,
LEA000016,Lead 15,Web,Working,0,
LEA000017,Lead 16,LinkedIn,New,0,
LEA000018,Lead 17,LinkedIn,Qualified,0,
LEA000019,Lead 18,Referral,Working,0,
LEA000020,Lead 19,Web,Qualified,0,
LEA000021,Lead 20,Event,Qualified,0,
LEA000022,Lead 21,LinkedIn,Converted,0,
LEA000023,Lead 22,Web,Converted,0,
LEA000024,Lead 23,Event,New,0,
LEA000025,Lead 24,Web,New,0,
LEA000026,Lead 25,Web,Qualified,0,
LEA000027,Lead 26,Event,Working,0,
LEA000028,Lead 27,Event,Qualified,0,
LEA000029,Lead 28,Web,Converted,0,
LEA000030,Lead 29,Event,Working,0,
LEA000031,Lead 30,Web,Converted,0,
LEA000032,Lead 31,Referral,Converted,0,
LEA000033,Lead 32,Event,Working,0,
LEA000034,Lead 33,Event,New,0,
LEA000035,Lead 34,Web,New,0,
LEA000036,Lead 35,LinkedIn,New,0,
LEA000037,Lead 36,LinkedIn,Converted,0,
LEA000038,Lead 37,Referral,Working,0,
LEA000039,Lead 38,LinkedIn,Working,0,
LEA000040,Lead 39,Referral,Working,0,
LEA000041,Lead 40,Referral,Converted,0,
LEA000042,Lead 41,LinkedIn,Converted,0,
LEA000043,Lead 42,Referral,Working,0,
LEA000044,Lead 43,Referral,Converted,0,
LEA000045,Lead 44,LinkedIn,Working,0,
LEA000046,Lead 45,Event,New,0,
LEA000047,Lead 46,Web,New,0,
LEA000048,Lead 47,Web,Working,0,
LEA000049,Lead 48,Event,Working,0,
LEA000050,Lead 49,Web,New,0,
LEA000051,Lead 50,LinkedIn,Converted,0,
LEA000052,Lead 51,Event,Working,0,
LEA000053,Lead 52,Event,Converted,0,
LEA000054,Lead 53,Referral,Working,0,
LEA000055,Lead 54,LinkedIn,Working,0,
LEA000056,Lead 55,Event,Working,0,
LEA000057,Lead 56,LinkedIn,Working,0,
LEA000058,Lead 57,Referral,New,0,
LEA000059,Lead 58,LinkedIn,New,0,
LEA000060,Lead 59,Event,Qualified,0,
LEA000061,Lead 60,Event,New,0,
LEA000062,Lead 61,LinkedIn,New,0,
LEA000063,Lead 62,Referral,Qualified,0,
LEA000064,Lead 63,Web,Qualified,0,
LEA000065,Lead 64,Event,New,0,
LEA000066,Lead 65,Event,Converted,0,
LEA000067,Lead 66,Event,New,0,
LEA000068,Lead 67,Referral,Working,0,
LEA000069,Lead 68,Referral,Converted,0,
LEA000070,Lead 69,Event,Working,0,
LEA000071,Lead 70,Event,Qualified,0,
LEA000072,Lead 71,LinkedIn,Converted,0,
LEA000073,Lead 72,Referral,Converted,0,
LEA000074,Lead 73,LinkedIn,Qualified,0,
LEA000075,Lead 74,LinkedIn,New,0,
LEA000076,Lead 75,Web,Working,0,
LEA000077,Lead 76,Web,Converted,0,
LEA000078,Lead 77,Referral,Converted,0,
LEA000079,Lead 78,Referral,Converted,0,
LEA000080,Lead 79,Referral,Qualified,0,
LEA000081,Lead 80,LinkedIn,Qualified,0,
LEA000082,Lead 81,Event,Converted,0,
LEA000083,Lead 82,Web,Qualified,0,
LEA000084,Lead 83,LinkedIn,New,0,
LEA000085,Lead 84,Web,Working,0,
LEA000086,Lead 85,LinkedIn,Qualified,0,
LEA000087,Lead 86,LinkedIn,New,0,
LEA000088,Lead 87,Event,New,0,
LEA000089,Lead 88,Event,Converted,0,
LEA000090,Lead 89,LinkedIn,Converted,0,
LEA000091,Lead 90,Event,Working,0,
LEA000092,Lead 91,Web,Working,0,
LEA000093,Lead 92,Web,Qualified,0,
LEA000094,Lead 93,LinkedIn,Converted,0,
LEA000095,Lead 94,Referral,Converted,0,
LEA000096,Lead 95,LinkedIn,New,0,
LEA000097,Lead 96,Web,Converted,0,
LEA000098,Lead 97,Event,New,0,
LEA000099,Lead 98,Referral,Converted,0,
LEA000100,Lead 99,LinkedIn,Working,0,
LEA000101,Lead 100,LinkedIn,New,0,
LEA000102,Lead 101,Referral,Qualified,0,
LEA000103,Lead 102,Referral,Qualified,0,
LEA000104,Lead 103,Web,Qualified,0,
LEA000105,Lead 104,LinkedIn,Working,0,
LEA000106,Lead 105,LinkedIn,New,0,
