record_id,entity_type,cluster_id,canonical_id,is_duplicate,cluster_size,match_type_used
ACC000001,ACCOUNT,CLU_ACC_ACC000001,ACC000001,NO,4691,"FUZZY,GOLDEN"
ACC000002,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,GOLDEN
ACC000004,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000009,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000010,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,GOLDEN
ACC000011,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000013,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000015,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,"FUZZY,GOLDEN"
ACC000018,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000020,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000021,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,"FUZZY,GOLDEN"
ACC000024,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000026,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,GOLDEN
ACC000030,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000031,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,"FUZZY,GOLDEN"
ACC000032,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000034,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000036,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,"FUZZY,GOLDEN"
ACC000037,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,"FUZZY,GOLDEN"
ACC000038,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,"FUZZY,GOLDEN"
ACC000040,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000042,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
ACC000045,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,GOLDEN
ACC000046,ACCOUNT,CLU_ACC_ACC000001,ACC000001,YES,4691,FUZZY
