record_id,entity_type,cluster_id,canonical_id,is_duplicate,cluster_size,match_type_used
CON000001,CONTACT,CLU_CON_CON000001,CON000001,NO,1,NONE
CON000002,CONTACT,CLU_CON_CON000002,CON000002,NO,1,NONE
CON000003,CONTACT,CLU_CON_CON000003,CON000003,NO,1,NONE
CON000004,CONTACT,CLU_CON_CON000004,CON000004,NO,1,NONE
CON000005,CONTACT,CLU_CON_CON000005,CON000005,NO,1,NONE
CON000006,CONTACT,CLU_CON_CON000006,CON000006,NO,1,NONE
CON000007,CONTACT,CLU_CON_CON000007,CON000007,NO,1,NONE
CON000008,CONTACT,CLU_CON_CON000008,CON000008,NO,1,NONE
CON000009,CONTACT,CLU_CON_CON000009,CON000009,NO,1,NONE
CON000010,CONTACT,CLU_CON_CON000010,CON000010,NO,1,NONE
CON000011,CONTACT,CLU_CON_CON000011,CON000011,NO,1,NONE
CON000012,CONTACT,CLU_CON_CON000012,CON000012,NO,1,NONE
CON000013,CONTACT,CLU_CON_CON000013,CON000013,NO,1,NONE
CON000014,CONTACT,CLU_CON_CON000014,CON000014,NO,1,NONE
CON000015,CONTACT,CLU_CON_CON000015,CON000015,NO,1,NONE
CON000016,CONTACT,CLU_CON_CON000016,CON000016,NO,1,NONE
CON000017,CONTACT,CLU_CON_CON000017,CON000017,NO,1,NONE
CON000018,CONTACT,CLU_CON_CON000018,CON000018,NO,771,FUZZY
CON000147,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000148,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000151,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000168,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000169,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000181,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000195,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON000200,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001412,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001413,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001419,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001423,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001428,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001430,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001434,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001457,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001458,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001475,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001476,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001484,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001494,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001504,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001511,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001513,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001515,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001528,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001531,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001535,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001555,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001570,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001581,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001596,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001600,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001604,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001607,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001612,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001633,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001636,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001643,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001645,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
CON001662,CONTACT,CLU_CON_CON000018,CON000018,YES,771,FUZZY
