record_id,entity_type,cluster_id,canonical_id,is_duplicate,cluster_size,match_type_used
LEA000001,LEAD,CLU_LEA_LEA000001,LEA000001,NO,1,NONE
LEA000002,LEAD,CLU_LEA_LEA000002,LEA000002,NO,1,NONE
LEA000003,LEAD,CLU_LEA_LEA000003,LEA000003,NO,1,NONE
LEA000004,LEAD,CLU_LEA_LEA000004,LEA000004,NO,1,NONE
LEA000005,LEAD,CLU_LEA_LEA000005,LEA000005,NO,1,NONE
LEA000006,LEAD,CLU_LEA_LEA000006,LEA000006,NO,1,NONE
LEA000007,LEAD,CLU_LEA_LEA000007,LEA000007,NO,1,NONE
LEA000008,LEAD,CLU_LEA_LEA000008,LEA000008,NO,1,NONE
LEA000009,LEAD,CLU_LEA_LEA000009,LEA000009,NO,1,NONE
LEA000010,LEAD,CLU_LEA_LEA000010,LEA000010,NO,1,NONE
LEA000011,LEAD,CLU_LEA_LEA000011,LEA000011,NO,1,NONE
LEA000012,LEAD,CLU_LEA_LEA000012,LEA000012,NO,1,NONE
LEA000013,LEAD,CLU_LEA_LEA000013,LEA000013,NO,1,NONE
LEA000014,LEAD,CLU_LEA_LEA000014,LEA000014,NO,1,NONE
LEA000015,LEAD,CLU_LEA_LEA000015,LEA000015,NO,1,NONE
LEA000016,LEAD,CLU_LEA_LEA000016,LEA000016,NO,1,NONE
LEA000017,LEAD,CLU_LEA_LEA000017,LEA000017,NO,1,NONE
LEA000018,LEAD,CLU_LEA_LEA000018,LEA000018,NO,1,NONE
LEA000019,LEAD,CLU_LEA_LEA000019,LEA000019,NO,1,NONE
LEA000020,LEAD,CLU_LEA_LEA000020,LEA000020,NO,1,NONE
LEA000021,LEAD,CLU_LEA_LEA000021,LEA000021,NO,1,NONE
LEA000022,LEAD,CLU_LEA_LEA000022,LEA000022,NO,1,NONE
LEA000023,LEAD,CLU_LEA_LEA000023,LEA000023,NO,1,NONE
LEA000024,LEAD,CLU_LEA_LEA000024,LEA000024,NO,1,NONE
LEA000025,LEAD,CLU_LEA_LEA000025,LEA000025,NO,1,NONE
LEA000026,LEAD,CLU_LEA_LEA000026,LEA000026,NO,1,NONE
LEA000027,LEAD,CLU_LEA_LEA000027,LEA000027,NO,1,NONE
LEA000028,LEAD,CLU_LEA_LEA000028,LEA000028,NO,1,NONE
LEA000029,LEAD,CLU_LEA_LEA000029,LEA000029,NO,1,NONE
LEA000030,LEAD,CLU_LEA_LEA000030,LEA000030,NO,1,NONE
LEA000031,LEAD,CLU_LEA_LEA000031,LEA000031,NO,1,NONE
LEA000032,LEAD,CLU_LEA_LEA000032,LEA000032,NO,1,NONE
LEA000033,LEAD,CLU_LEA_LEA000033,LEA000033,NO,1,NONE
LEA000034,LEAD,CLU_LEA_LEA000034,LEA000034,NO,1,NONE
LEA000035,LEAD,CLU_LEA_LEA000035,LEA000035,NO,1,NONE
LEA000036,LEAD,CLU_LEA_LEA000036,LEA000036,NO,1,NONE
LEA000037,LEAD,CLU_LEA_LEA000037,LEA000037,NO,1,NONE
LEA000038,LEAD,CLU_LEA_LEA000038,LEA000038,NO,1,NONE
LEA000039,LEAD,CLU_LEA_LEA000039,LEA000039,NO,1,NONE
LEA000040,LEAD,CLU_LEA_LEA000040,LEA000040,NO,1,NONE
LEA000041,LEAD,CLU_LEA_LEA000041,LEA000041,NO,1,NONE
LEA000042,LEAD,CLU_LEA_LEA000042,LEA000042,NO,1,NONE
LEA000043,LEAD,CLU_LEA_LEA000043,LEA000043,NO,1,NONE
LEA000044,LEAD,CLU_LEA_LEA000044,LEA000044,NO,1,NONE
LEA000045,LEAD,CLU_LEA_LEA000045,LEA000045,NO,1,NONE
LEA000046,LEAD,CLU_LEA_LEA000046,LEA000046,NO,1,NONE
LEA000047,LEAD,CLU_LEA_LEA000047,LEA000047,NO,1,NONE
LEA000048,LEAD,CLU_LEA_LEA000048,LEA000048,NO,1,NONE
LEA000049,LEAD,CLU_LEA_LEA000049,LEA000049,NO,1,NONE
LEA000050,LEAD,CLU_LEA_LEA000050,LEA000050,NO,1,NONE
LEA000051,LEAD,CLU_LEA_LEA000051,LEA000051,NO,1,NONE
LEA000052,LEAD,CLU_LEA_LEA000052,LEA000052,NO,1,NONE
LEA000053,LEAD,CLU_LEA_LEA000053,LEA000053,NO,1,NONE
LEA000054,LEAD,CLU_LEA_LEA000054,LEA000054,NO,1,NONE
LEA000055,LEAD,CLU_LEA_LEA000055,LEA000055,NO,1,NONE
LEA000056,LEAD,CLU_LEA_LEA000056,LEA000056,NO,1,NONE
LEA000057,LEAD,CLU_LEA_LEA000057,LEA000057,NO,1,NONE
LEA000058,LEAD,CLU_LEA_LEA000058,LEA000058,NO,1,NONE
LEA000059,LEAD,CLU_LEA_LEA000059,LEA000059,NO,1,NONE
LEA000060,LEAD,CLU_LEA_LEA000060,LEA000060,NO,1,NONE
LEA000061,LEAD,CLU_LEA_LEA000061,LEA000061,NO,1,NONE
LEA000062,LEAD,CLU_LEA_LEA000062,LEA000062,NO,1,NONE
LEA000063,LEAD,CLU_LEA_LEA000063,LEA000063,NO,1,NONE
LEA000064,LEAD,CLU_LEA_LEA000064,LEA000064,NO,1,NONE
LEA000065,LEAD,CLU_LEA_LEA000065,LEA000065,NO,1,NONE
LEA000066,LEAD,CLU_LEA_LEA000066,LEA000066,NO,1,NONE
LEA000067,LEAD,CLU_LEA_LEA000067,LEA000067,NO,1,NONE
LEA000068,LEAD,CLU_LEA_LEA000068,LEA000068,NO,1,NONE
LEA000069,LEAD,CLU_LEA_LEA000069,LEA000069,NO,1,NONE
LEA000070,LEAD,CLU_LEA_LEA000070,LEA000070,NO,1,NONE
LEA000071,LEAD,CLU_LEA_LEA000071,LEA000071,NO,1,NONE
LEA000072,LEAD,CLU_LEA_LEA000072,LEA000072,NO,1,NONE
LEA000073,LEAD,CLU_LEA_LEA000073,LEA000073,NO,1,NONE
LEA000074,LEAD,CLU_LEA_LEA000074,LEA000074,NO,1,NONE
LEA000075,LEAD,CLU_LEA_LEA000075,LEA000075,NO,1,NONE
LEA000076,LEAD,CLU_LEA_LEA000076,LEA000076,NO,1,NONE
LEA000077,LEAD,CLU_LEA_LEA000077,LEA000077,NO,1,NONE
LEA000078,LEAD,CLU_LEA_LEA000078,LEA000078,NO,1,NONE
LEA000079,LEAD,CLU_LEA_LEA000079,LEA000079,NO,1,NONE
LEA000080,LEAD,CLU_LEA_LEA000080,LEA000080,NO,1,NONE
LEA000081,LEAD,CLU_LEA_LEA000081,LEA000081,NO,1,NONE
LEA000082,LEAD,CLU_LEA_LEA000082,LEA000082,NO,1,NONE
LEA000083,LEAD,CLU_LEA_LEA000083,LEA000083,NO,1,NONE
LEA000084,LEAD,CLU_LEA_LEA000084,LEA000084,NO,1,NONE
LEA000085,LEAD,CLU_LEA_LEA000085,LEA000085,NO,1,NONE
LEA000086,LEAD,CLU_LEA_LEA000086,LEA000086,NO,1,NONE
LEA000087,LEAD,CLU_LEA_LEA000087,LEA000087,NO,1,NONE
LEA000088,LEAD,CLU_LEA_LEA000088,LEA000088,NO,1,NONE
LEA000089,LEAD,CLU_LEA_LEA000089,LEA000089,NO,1,NONE
LEA000090,LEAD,CLU_LEA_LEA000090,LEA000090,NO,1,NONE
LEA000091,LEAD,CLU_LEA_LEA000091,LEA000091,NO,1,NONE
LEA000092,LEAD,CLU_LEA_LEA000092,LEA000092,NO,1,NONE
LEA000093,LEAD,CLU_LEA_LEA000093,LEA000093,NO,1,NONE
LEA000094,LEAD,CLU_LEA_LEA000094,LEA000094,NO,1,NONE
LEA000095,LEAD,CLU_LEA_LEA000095,LEA000095,NO,1,NONE
LEA000096,LEAD,CLU_LEA_LEA000096,LEA000096,NO,1,NONE
LEA000097,LEAD,CLU_LEA_LEA000097,LEA000097,NO,1,NONE
LEA000098,LEAD,CLU_LEA_LEA000098,LEA000098,NO,1,NONE
LEA000099,LEAD,CLU_LEA_LEA000099,LEA000099,NO,1,NONE
LEA000100,LEAD,CLU_LEA_LEA000100,LEA000100,NO,1,NONE
LEA000101,LEAD,CLU_LEA_LEA000101,LEA000101,NO,1,NONE
LEA000102,LEAD,CLU_LEA_LEA000102,LEA000102,NO,1,NONE
LEA000103,LEAD,CLU_LEA_LEA000103,LEA000103,NO,1,NONE
LEA000104,LEAD,CLU_LEA_LEA000104,LEA000104,NO,1,NONE
LEA000105,LEAD,CLU_LEA_LEA000105,LEA000105,NO,1,NONE
LEA000106,LEAD,CLU_LEA_LEA000106,LEA000106,NO,1,NONE
LEA000107,LEAD,CLU_LEA_LEA000107,LEA000107,NO,1,NONE
LEA000108,LEAD,CLU_LEA_LEA000108,LEA000108,NO,1,NONE
LEA000109,LEAD,CLU_LEA_LEA000109,LEA000109,NO,1,NONE
LEA000110,LEAD,CLU_LEA_LEA000110,LEA000110,NO,1,NONE
LEA000111,LEAD,CLU_LEA_LEA000111,LEA000111,NO,1,NONE
LEA000112,LEAD,CLU_LEA_LEA000112,LEA000112,NO,1,NONE
LEA000113,LEAD,CLU_LEA_LEA000113,LEA000113,NO,1,NONE
LEA000114,LEAD,CLU_LEA_LEA000114,LEA000114,NO,1,NONE
LEA000115,LEAD,CLU_LEA_LEA000115,LEA000115,NO,1,NONE
LEA000116,LEAD,CLU_LEA_LEA000116,LEA000116,NO,1,NONE
LEA000117,LEAD,CLU_LEA_LEA000117,LEA000117,NO,1,NONE
LEA000118,LEAD,CLU_LEA_LEA000118,LEA000118,NO,1,NONE
LEA000119,LEAD,CLU_LEA_LEA000119,LEA000119,NO,1,NONE
LEA000120,LEAD,CLU_LEA_LEA000120,LEA000120,NO,1,NONE
LEA000121,LEAD,CLU_LEA_LEA000121,LEA000121,NO,1,NONE
LEA000122,LEAD,CLU_LEA_LEA000122,LEA000122,NO,1,NONE
LEA000123,LEAD,CLU_LEA_LEA000123,LEA000123,NO,1,NONE
LEA000124,LEAD,CLU_LEA_LEA000124,LEA000124,NO,1,NONE
LEA000125,LEAD,CLU_LEA_LEA000125,LEA000125,NO,1,NONE
LEA000126,LEAD,CLU_LEA_LEA000126,LEA000126,NO,1,NONE
LEA000127,LEAD,CLU_LEA_LEA000127,LEA000127,NO,1,NONE
LEA000128,LEAD,CLU_LEA_LEA000128,LEA000128,NO,1,NONE
LEA000129,LEAD,CLU_LEA_LEA000129,LEA000129,NO,1,NONE
LEA000130,LEAD,CLU_LEA_LEA000130,LEA000130,NO,1,NONE
LEA000131,LEAD,CLU_LEA_LEA000131,LEA000131,NO,1,NONE
LEA000132,LEAD,CLU_LEA_LEA000132,LEA000132,NO,1,NONE
LEA000133,LEAD,CLU_LEA_LEA000133,LEA000133,NO,1,NONE
LEA000134,LEAD,CLU_LEA_LEA000134,LEA000134,NO,1,NONE
LEA000135,LEAD,CLU_LEA_LEA000135,LEA000135,NO,1,NONE
LEA000136,LEAD,CLU_LEA_LEA000136,LEA000136,NO,1,NONE
LEA000137,LEAD,CLU_LEA_LEA000137,LEA000137,NO,1,NONE
LEA000138,LEAD,CLU_LEA_LEA000138,LEA000138,NO,1,NONE
LEA000139,LEAD,CLU_LEA_LEA000139,LEA000139,NO,1,NONE
LEA000140,LEAD,CLU_LEA_LEA000140,LEA000140,NO,1,NONE
LEA000141,LEAD,CLU_LEA_LEA000141,LEA000141,NO,1,NONE
LEA000142,LEAD,CLU_LEA_LEA000142,LEA000142,NO,1,NONE
LEA000143,LEAD,CLU_LEA_LEA000143,LEA000143,NO,1,NONE
LEA000144,LEAD,CLU_LEA_LEA000144,LEA000144,NO,1,NONE
LEA000145,LEAD,CLU_LEA_LEA000145,LEA000145,NO,1,NONE
LEA000146,LEAD,CLU_LEA_LEA000146,LEA000146,NO,1,NONE
LEA000147,LEAD,CLU_LEA_LEA000147,LEA000147,NO,1,NONE
