record_id,entity_type,dimension,dq_check,field_name,issue_value,severity
LEA000001,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000001,MEDIUM
LEA000002,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000002,MEDIUM
LEA000003,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000003,MEDIUM
LEA000004,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000004,MEDIUM
LEA000005,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000005,MEDIUM
LEA000006,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000006,MEDIUM
LEA000007,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000007,MEDIUM
LEA000008,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000008,MEDIUM
LEA000009,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000009,MEDIUM
LEA000010,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000010,MEDIUM
LEA000011,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000011,MEDIUM
LEA000012,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000012,MEDIUM
LEA000013,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000013,MEDIUM
LEA000014,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000014,MEDIUM
LEA000015,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000015,MEDIUM
LEA000016,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000016,MEDIUM
LEA000017,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000017,MEDIUM
LEA000018,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000018,MEDIUM
LEA000019,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000019,MEDIUM
LEA000020,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000020,MEDIUM
LEA000021,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000021,MEDIUM
LEA000022,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000022,MEDIUM
LEA000023,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000023,MEDIUM
LEA000024,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000024,MEDIUM
LEA000025,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000025,MEDIUM
LEA000026,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000026,MEDIUM
LEA000027,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000027,MEDIUM
LEA000028,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000028,MEDIUM
LEA000029,LEAD,Validity,validity_invalid_lead_id_format,lead_id,LEA000029,MEDIUM
