source_record_id,matched_record_id,entity_type,match_type,match_field,match_score,confidence_level
ACC009845,ACC000833,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002121,ACC000668,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006355,ACC000490,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000771,ACC000490,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008530,ACC004031,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006412,ACC004031,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003905,ACC000037,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002150,ACC000037,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005890,ACC003246,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005904,ACC005243,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003428,ACC002109,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003000,ACC002109,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002118,ACC002109,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008913,ACC000541,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002352,ACC000541,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002037,ACC000541,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007067,ACC003578,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009806,ACC002109,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009351,ACC003945,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009741,ACC003246,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007390,ACC003728,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007492,ACC001807,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007976,ACC004940,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009805,ACC005454,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007210,ACC002293,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007912,ACC000998,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007840,ACC000998,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006306,ACC000998,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005849,ACC003728,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004500,ACC000998,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009421,ACC008375,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008987,ACC003636,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007782,ACC003636,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004953,ACC003636,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009192,ACC007178,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC003884,ACC001323,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002277,ACC001323,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009730,ACC008375,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC004092,ACC003945,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008703,ACC002280,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC007571,ACC000794,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000901,ACC000036,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000660,ACC000036,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009373,ACC000846,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC000914,ACC000846,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008813,ACC000723,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC002106,ACC000723,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009157,ACC002318,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC006464,ACC000036,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC009150,ACC002318,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC005816,ACC004782,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
ACC008676,ACC008257,ACCOUNT,GOLDEN,golden_record_id,1.0,HIGH
