golden_lead_id,surviving_lead_id,source_lead_ids,lead_name,source,status,record_quality_score,quality_grade,survivorship_reason,records_merged_count
GOLD_LED_000001,LEA000001,LEA000001,Lead 0,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000002,LEA000002,LEA000002,Lead 1,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000003,LEA000003,LEA000003,Lead 2,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000004,LEA000004,LEA000004,Lead 3,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000005,LEA000005,LEA000005,Lead 4,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000006,LEA000006,LEA000006,Lead 5,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000007,LEA000007,LEA000007,Lead 6,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000008,LEA000008,LEA000008,Lead 7,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000009,LEA000009,LEA000009,Lead 8,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000010,LEA000010,LEA000010,Lead 9,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000011,LEA000011,LEA000011,Lead 10,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000012,LEA000012,LEA000012,Lead 11,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000013,LEA000013,LEA000013,Lead 12,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000014,LEA000014,LEA000014,Lead 13,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000015,LEA000015,LEA000015,Lead 14,Referral,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000016,LEA000016,LEA000016,Lead 15,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000017,LEA000017,LEA000017,Lead 16,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000018,LEA000018,LEA000018,Lead 17,LinkedIn,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000019,LEA000019,LEA000019,Lead 18,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000020,LEA000020,LEA000020,Lead 19,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000021,LEA000021,LEA000021,Lead 20,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000022,LEA000022,LEA000022,Lead 21,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000023,LEA000023,LEA000023,Lead 22,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000024,LEA000024,LEA000024,Lead 23,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000025,LEA000025,LEA000025,Lead 24,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000026,LEA000026,LEA000026,Lead 25,Web,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000027,LEA000027,LEA000027,Lead 26,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000028,LEA000028,LEA000028,Lead 27,Event,Qualified,75.0,C,Highest record_quality_score,1
GOLD_LED_000029,LEA000029,LEA000029,Lead 28,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000030,LEA000030,LEA000030,Lead 29,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000031,LEA000031,LEA000031,Lead 30,Web,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000032,LEA000032,LEA000032,Lead 31,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000033,LEA000033,LEA000033,Lead 32,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000034,LEA000034,LEA000034,Lead 33,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000035,LEA000035,LEA000035,Lead 34,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000036,LEA000036,LEA000036,Lead 35,LinkedIn,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000037,LEA000037,LEA000037,Lead 36,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000038,LEA000038,LEA000038,Lead 37,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000039,LEA000039,LEA000039,Lead 38,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000040,LEA000040,LEA000040,Lead 39,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000041,LEA000041,LEA000041,Lead 40,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000042,LEA000042,LEA000042,Lead 41,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000043,LEA000043,LEA000043,Lead 42,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000044,LEA000044,LEA000044,Lead 43,Referral,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000045,LEA000045,LEA000045,Lead 44,LinkedIn,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000046,LEA000046,LEA000046,Lead 45,Event,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000047,LEA000047,LEA000047,Lead 46,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000048,LEA000048,LEA000048,Lead 47,Web,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000049,LEA000049,LEA000049,Lead 48,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000050,LEA000050,LEA000050,Lead 49,Web,New,75.0,C,Highest record_quality_score,1
GOLD_LED_000051,LEA000051,LEA000051,Lead 50,LinkedIn,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000052,LEA000052,LEA000052,Lead 51,Event,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000053,LEA000053,LEA000053,Lead 52,Event,Converted,75.0,C,Highest record_quality_score,1
GOLD_LED_000054,LEA000054,LEA000054,Lead 53,Referral,Working,75.0,C,Highest record_quality_score,1
GOLD_LED_000055,LEA000055,LEA000055,Lead 54,LinkedIn,Working,75.0,C,Highest record_quality_score,1
