account_id,entity_type,completeness_score,validity_score,consistency_score,uniqueness_score,freshness_score,record_quality_score,quality_grade,issue_count,high_severity_issues,module6_golden_record_eligible
ACC000001,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000003,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000005,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000006,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000007,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000008,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000012,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000014,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000016,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000017,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000019,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000022,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000023,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000025,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000027,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000028,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000029,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000033,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000035,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000039,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000041,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000043,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000044,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000050,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000052,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000053,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000054,ACCOUNT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
ACC000056,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000058,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000063,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000064,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000065,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
ACC000067,ACCOUNT,100.0,100.0,100.0,0.0,100.0,90.0,A,1,0,YES
