contact_id,entity_type,completeness_score,validity_score,consistency_score,uniqueness_score,freshness_score,record_quality_score,quality_grade,issue_count,high_severity_issues,module6_golden_record_eligible
CON000001,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000002,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000003,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000004,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000005,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000006,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000007,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000008,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000009,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000010,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000011,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000012,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000013,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000014,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000015,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000016,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000017,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000018,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000019,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000020,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000021,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000022,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000023,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000024,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000025,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000026,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000027,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000028,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
CON000029,CONTACT,100.0,100.0,0.0,100.0,100.0,80.0,B,1,1,NO
CON000030,CONTACT,100.0,100.0,100.0,100.0,100.0,100.0,A,0,0,YES
