lead_id,entity_type,completeness_score,validity_score,consistency_score,uniqueness_score,freshness_score,record_quality_score,quality_grade,issue_count,high_severity_issues,module6_golden_record_eligible
LEA000001,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000002,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000003,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000004,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000005,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000006,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000007,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000008,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000009,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000010,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000011,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000012,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000013,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000014,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000015,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000016,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000017,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000018,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000019,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000020,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000021,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000022,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000023,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000024,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000025,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000026,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000027,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000028,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000029,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000030,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000031,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000032,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000033,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000034,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000035,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000036,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
LEA000037,LEAD,100.0,0.0,100.0,100.0,100.0,75.0,C,1,0,NO
