account_id,account_name,industry,country,annual_revenue,employee_count,std_flag
ACC000001,Company 1,Manufacturing,India,422836577,33171,OK
ACC000002,Company 2,Healthcare,USA,70154830,33204,OK
ACC000003,Company 3,Retail,Germany,455364602,7380,OK
ACC000004,Company 4,Technology,United Kingdom,16812622,32860,OK
ACC000005,Company 5,Retail,United Kingdom,495680784,10254,OK
ACC000006,Company 6,Manufacturing,United Kingdom,235638664,39940,OK
ACC000007,Company 7,Manufacturing,USA,381983077,4334,OK
ACC000008,Company 8,Technology,USA,24426433,34878,OK
ACC000009,Company 9,Retail,Australia,152727108,6597,OK
ACC000010,Company 10,Finance,Australia,430315101,7507,OK
ACC000011,Company 11,Technology,Australia,495788674,30074,OK
ACC000012,Company 12,Healthcare,India,347454741,3021,OK
ACC000013,Company 13,Finance,Australia,450989230,46988,OK
ACC000014,Company 14,Retail,Germany,52440965,38929,OK
ACC000015,Company 15,Technology,United Kingdom,102969285,2141,OK
ACC000016,Company 16,Retail,United Kingdom,435142307,45234,OK
ACC000017,Company 17,Finance,USA,431973800,42734,OK
ACC000018,Company 18,Finance,USA,333811802,25586,OK
ACC000019,Company 19,Healthcare,USA,185320544,10301,OK
ACC000020,Company 20,Healthcare,Australia,182802431,23506,OK
ACC000021,Company 21,Technology,India,215638995,38608,OK
ACC000022,Company 22,Technology,United Kingdom,267192309,8694,OK
ACC000023,Company 23,Retail,Germany,97076437,370,OK
ACC000024,Company 24,Manufacturing,USA,304612002,5042,OK
ACC000025,Company 25,Technology,Germany,2257813,40976,OK
ACC000026,Company 26,Technology,Germany,16168962,46941,OK
ACC000027,Company 27,Healthcare,United Kingdom,46237902,45218,OK
ACC000028,Company 28,Retail,USA,158690495,22461,OK
ACC000029,Company 29,Healthcare,India,4477835,33615,OK
ACC000030,Company 30,Retail,Australia,253186747,15572,OK
ACC000031,Company 31,Retail,United Kingdom,336539010,38592,OK
ACC000032,Company 32,Finance,USA,30573969,28147,OK
ACC000033,Company 33,Finance,Germany,134010719,39634,OK
ACC000034,Company 34,Technology,United Kingdom,41858292,39360,OK
