source_record,account_id,golden_record_id,id_format_valid
DUP00000,ACC002206,GOLD01020,VALID
DUP00001,ACC004686,GOLD01839,VALID
DUP00002,ACC006908,GOLD01349,VALID
DUP00003,ACC006997,GOLD02015,VALID
DUP00004,ACC008287,GOLD02515,VALID
DUP00005,ACC002249,GOLD02728,VALID
DUP00006,ACC003590,GOLD01839,VALID
DUP00007,ACC005370,GOLD02666,VALID
DUP00008,ACC002348,GOLD02765,VALID
DUP00009,ACC003506,GOLD02237,VALID
DUP00010,ACC004470,GOLD02825,VALID
DUP00011,ACC007498,GOLD01648,VALID
DUP00012,ACC007272,GOLD01874,VALID
DUP00013,ACC009838,GOLD02230,VALID
DUP00014,ACC001795,GOLD00733,VALID
DUP00015,ACC001426,GOLD01915,VALID
DUP00016,ACC000695,GOLD02490,VALID
DUP00017,ACC000379,GOLD00376,VALID
DUP00018,ACC000506,GOLD01218,VALID
DUP00019,ACC004398,GOLD01574,VALID
DUP00020,ACC000854,GOLD02523,VALID
DUP00021,ACC004220,GOLD01564,VALID
DUP00022,ACC003985,GOLD01304,VALID
DUP00023,ACC001559,GOLD02139,VALID
DUP00024,ACC008545,GOLD02424,VALID
DUP00025,ACC002616,GOLD00537,VALID
DUP00026,ACC007354,GOLD01869,VALID
DUP00027,ACC008285,GOLD01105,VALID
DUP00028,ACC009704,GOLD01139,VALID
DUP00029,ACC006808,GOLD02371,VALID
DUP00030,ACC002596,GOLD00166,VALID
DUP00031,ACC006223,GOLD01591,VALID
DUP00032,ACC001394,GOLD02299,VALID
DUP00033,ACC005287,GOLD02977,VALID
DUP00034,ACC001600,GOLD02042,VALID
DUP00035,ACC006548,GOLD01146,VALID
DUP00036,ACC001101,GOLD00123,VALID
DUP00037,ACC008384,GOLD00140,VALID
DUP00038,ACC000617,GOLD01020,VALID
DUP00039,ACC004445,GOLD01133,VALID
DUP00040,ACC004798,GOLD02967,VALID
DUP00041,ACC004322,GOLD02809,VALID
DUP00042,ACC005205,GOLD02645,VALID
DUP00043,ACC007111,GOLD00589,VALID
DUP00044,ACC007371,GOLD02939,VALID
DUP00045,ACC007338,GOLD02342,VALID
DUP00046,ACC007021,GOLD02014,VALID
DUP00047,ACC006191,GOLD00622,VALID
DUP00048,ACC007014,GOLD02365,VALID
DUP00049,ACC007720,GOLD00868,VALID
DUP00050,ACC001819,GOLD01165,VALID
DUP00051,ACC003892,GOLD00065,VALID
DUP00052,ACC006297,GOLD00868,VALID
DUP00053,ACC001791,GOLD01347,VALID
DUP00054,ACC000907,GOLD00949,VALID
DUP00055,ACC002087,GOLD01681,VALID
DUP00056,ACC004241,GOLD02694,VALID
DUP00057,ACC002608,GOLD00056,VALID
DUP00058,ACC003680,GOLD01460,VALID
DUP00059,ACC004240,GOLD01393,VALID
DUP00060,ACC006666,GOLD01558,VALID
DUP00061,ACC002189,GOLD00259,VALID
DUP00062,ACC008913,GOLD00971,VALID
DUP00063,ACC007363,GOLD01905,VALID
DUP00064,ACC003884,GOLD00991,VALID
DUP00065,ACC008150,GOLD00910,VALID
DUP00066,ACC005771,GOLD01731,VALID
DUP00067,ACC004358,GOLD02911,VALID
DUP00068,ACC009701,GOLD02226,VALID
DUP00069,ACC004314,GOLD01462,VALID
DUP00070,ACC000744,GOLD00493,VALID
DUP00071,ACC002910,GOLD02335,VALID
DUP00072,ACC003699,GOLD02053,VALID
DUP00073,ACC006101,GOLD02701,VALID
DUP00074,ACC005198,GOLD02831,VALID
DUP00075,ACC006048,GOLD02503,VALID
DUP00076,ACC007477,GOLD02707,VALID
DUP00077,ACC004483,GOLD01359,VALID
DUP00078,ACC009212,GOLD00120,VALID
DUP00079,ACC008793,GOLD00615,VALID
DUP00080,ACC009495,GOLD00069,VALID
DUP00081,ACC009196,GOLD02999,VALID
DUP00082,ACC009388,GOLD00690,VALID
DUP00083,ACC005561,GOLD02356,VALID
DUP00084,ACC005003,GOLD01355,VALID
DUP00085,ACC004936,GOLD00064,VALID
DUP00086,ACC002819,GOLD02531,VALID
DUP00087,ACC000002,GOLD02998,VALID
DUP00088,ACC000149,GOLD02997,VALID
DUP00089,ACC008381,GOLD00948,VALID
DUP00090,ACC004560,GOLD01587,VALID
DUP00091,ACC005546,GOLD00269,VALID
DUP00092,ACC009820,GOLD01163,VALID
DUP00093,ACC009774,GOLD00358,VALID
DUP00094,ACC007934,GOLD00763,VALID
DUP00095,ACC006257,GOLD00219,VALID
DUP00096,ACC008335,GOLD00884,VALID
DUP00097,ACC002090,GOLD01614,VALID
DUP00098,ACC008027,GOLD02149,VALID
DUP00099,ACC001816,GOLD02424,VALID
DUP00100,ACC004878,GOLD02327,VALID
DUP00101,ACC008640,GOLD00067,VALID
DUP00102,ACC001237,GOLD02810,VALID
DUP00103,ACC004295,GOLD01607,VALID
DUP00104,ACC006795,GOLD00539,VALID
