account_id,steward,dq_issue_status
ACC000001,Data Steward B,Resolved
ACC000002,Data Steward B,In Review
ACC000003,Data Steward B,Resolved
ACC000004,Data Steward B,Resolved
ACC000005,Data Steward A,In Review
ACC000006,Data Steward B,Resolved
ACC000007,Data Steward C,Resolved
ACC000008,Data Steward C,In Review
ACC000009,Data Steward C,Resolved
ACC000010,Data Steward A,In Review
ACC000011,Data Steward A,Resolved
ACC000012,Data Steward C,Resolved
ACC000013,Data Steward C,Open
ACC000014,Data Steward B,Open
ACC000015,Data Steward B,Resolved
ACC000016,Data Steward B,In Review
ACC000017,Data Steward B,Open
ACC000018,Data Steward A,Open
ACC000019,Data Steward A,Open
ACC000020,Data Steward A,In Review
ACC000021,Data Steward A,Resolved
ACC000022,Data Steward B,In Review
ACC000023,Data Steward A,Resolved
ACC000024,Data Steward A,In Review
ACC000025,Data Steward A,Resolved
ACC000026,Data Steward B,In Review
ACC000027,Data Steward B,In Review
ACC000028,Data Steward C,Resolved
ACC000029,Data Steward A,Open
ACC000030,Data Steward B,Open
ACC000031,Data Steward B,Open
ACC000032,Data Steward B,Resolved
ACC000033,Data Steward B,In Review
ACC000034,Data Steward C,In Review
ACC000035,Data Steward C,In Review
ACC000036,Data Steward B,Open
ACC000037,Data Steward C,Resolved
ACC000038,Data Steward A,In Review
ACC000039,Data Steward B,Open
ACC000040,Data Steward A,In Review
ACC000041,Data Steward C,In Review
ACC000042,Data Steward A,Open
ACC000043,Data Steward A,In Review
ACC000044,Data Steward B,In Review
ACC000045,Data Steward B,In Review
ACC000046,Data Steward A,Resolved
ACC000047,Data Steward B,Resolved
ACC000048,Data Steward A,Open
ACC000049,Data Steward B,Resolved
ACC000050,Data Steward C,Open
ACC000051,Data Steward A,Open
ACC000052,Data Steward B,Open
ACC000053,Data Steward A,Open
ACC000054,Data Steward A,Resolved
ACC000055,Data Steward C,In Review
ACC000056,Data Steward A,In Review
ACC000057,Data Steward B,In Review
ACC000058,Data Steward B,In Review
ACC000059,Data Steward C,Resolved
ACC000060,Data Steward A,In Review
ACC000061,Data Steward C,In Review
ACC000062,Data Steward A,Open
ACC000063,Data Steward B,In Review
ACC000064,Data Steward C,In Review
ACC000065,Data Steward C,In Review
ACC000066,Data Steward A,In Review
ACC000067,Data Steward C,In Review
ACC000068,Data Steward C,In Review
ACC000069,Data Steward B,Resolved
ACC000070,Data Steward A,In Review
ACC000071,Data Steward C,Open
ACC000072,Data Steward A,Open
ACC000073,Data Steward A,Open
ACC000074,Data Steward B,Open
ACC000075,Data Steward A,Open
ACC000076,Data Steward C,In Review
ACC000077,Data Steward A,Resolved
ACC000078,Data Steward A,In Review
ACC000079,Data Steward B,In Review
ACC000080,Data Steward A,Open
ACC000081,Data Steward C,Open
ACC000082,Data Steward B,Open
ACC000083,Data Steward B,Resolved
ACC000084,Data Steward C,Open
ACC000085,Data Steward C,In Review
ACC000086,Data Steward C,In Review
ACC000087,Data Steward B,In Review
ACC000088,Data Steward C,Resolved
ACC000089,Data Steward A,In Review
ACC000090,Data Steward B,In Review
ACC000091,Data Steward A,Open
ACC000092,Data Steward C,In Review
ACC000093,Data Steward A,Resolved
ACC000094,Data Steward A,Resolved
ACC000095,Data Steward B,Open
ACC000096,Data Steward A,Resolved
ACC000097,Data Steward B,In Review
ACC000098,Data Steward A,In Review
ACC000099,Data Steward A,Resolved
ACC000100,Data Steward C,Resolved
ACC000101,Data Steward B,In Review
ACC000102,Data Steward B,In Review
ACC000103,Data Steward C,In Review
ACC000104,Data Steward C,In Review
ACC000105,Data Steward B,In Review
ACC000106,Data Steward A,Open
ACC000107,Data Steward C,In Review
ACC000108,Data Steward C,Resolved
ACC000109,Data Steward B,In Review
ACC000110,Data Steward C,Resolved
ACC000111,Data Steward C,Resolved
ACC000112,Data Steward B,Open
ACC000113,Data Steward C,In Review
ACC000114,Data Steward C,In Review
ACC000115,Data Steward C,Open
ACC000116,Data Steward B,Open
ACC000117,Data Steward B,In Review
ACC000118,Data Steward A,Resolved
ACC000119,Data Steward A,Resolved
ACC000120,Data Steward A,Open
ACC000121,Data Steward A,Open
ACC000122,Data Steward C,Resolved
ACC000123,Data Steward A,In Review
ACC000124,Data Steward C,Open
ACC000125,Data Steward A,Open
ACC000126,Data Steward B,Open
ACC000127,Data Steward A,Resolved
ACC000128,Data Steward B,Open
ACC000129,Data Steward A,In Review
ACC000130,Data Steward C,In Review
ACC000131,Data Steward C,Resolved
ACC000132,Data Steward C,In Review
ACC000133,Data Steward A,Resolved
ACC000134,Data Steward B,In Review
ACC000135,Data Steward C,In Review
ACC000136,Data Steward C,Open
ACC000137,Data Steward B,Open
ACC000138,Data Steward B,In Review
ACC000139,Data Steward B,Resolved
ACC000140,Data Steward B,Resolved
ACC000141,Data Steward C,In Review
ACC000142,Data Steward B,Open
ACC000143,Data Steward C,Resolved
ACC000144,Data Steward C,Open
ACC000145,Data Steward A,Resolved
ACC000146,Data Steward C,In Review
ACC000147,Data Steward C,In Review
ACC000148,Data Steward A,Open
ACC000149,Data Steward B,Resolved
ACC000150,Data Steward C,Resolved
ACC000151,Data Steward A,Resolved
ACC000152,Data Steward B,Open
ACC000153,Data Steward B,In Review
ACC000154,Data Steward B,Open
ACC000155,Data Steward A,Resolved
ACC000156,Data Steward A,Resolved
ACC000157,Data Steward A,Open
ACC000158,Data Steward A,Open
ACC000159,Data Steward B,Resolved
ACC000160,Data Steward B,In Review
ACC000161,Data Steward C,In Review
ACC000162,Data Steward B,Resolved
ACC000163,Data Steward A,Open
ACC000164,Data Steward A,Open
ACC000165,Data Steward A,Resolved
ACC000166,Data Steward B,Resolved
ACC000167,Data Steward A,Resolved
ACC000168,Data Steward A,Resolved
ACC000169,Data Steward A,Resolved
ACC000170,Data Steward C,Open
ACC000171,Data Steward B,In Review
ACC000172,Data Steward B,Resolved
ACC000173,Data Steward B,In Review
ACC000174,Data Steward A,Resolved
ACC000175,Data Steward C,In Review
ACC000176,Data Steward C,In Review
ACC000177,Data Steward B,Open
ACC000178,Data Steward A,Resolved
ACC000179,Data Steward A,Open
ACC000180,Data Steward B,Resolved
ACC000181,Data Steward C,In Review
ACC000182,Data Steward C,In Review
ACC000183,Data Steward A,Resolved
ACC000184,Data Steward B,In Review
ACC000185,Data Steward B,Resolved
ACC000186,Data Steward A,Open
ACC000187,Data Steward A,Resolved
ACC000188,Data Steward B,In Review
ACC000189,Data Steward C,In Review
ACC000190,Data Steward A,In Review
ACC000191,Data Steward C,In Review
ACC000192,Data Steward B,Open
ACC000193,Data Steward A,Resolved
ACC000194,Data Steward B,Resolved
ACC000195,Data Steward C,Resolved
ACC000196,Data Steward A,Resolved
ACC000197,Data Steward A,In Review
ACC000198,Data Steward A,Open
ACC000199,Data Steward A,Resolved
ACC000200,Data Steward C,Open
ACC000201,Data Steward C,In Review
ACC000202,Data Steward C,In Review
ACC000203,Data Steward B,In Review
ACC000204,Data Steward C,Open
ACC000205,Data Steward B,In Review
ACC000206,Data Steward A,Resolved
ACC000207,Data Steward C,In Review
ACC000208,Data Steward B,Open
ACC000209,Data Steward A,Resolved
ACC000210,Data Steward C,In Review
ACC000211,Data Steward C,In Review
ACC000212,Data Steward A,Resolved
ACC000213,Data Steward C,Open
ACC000214,Data Steward B,Open
ACC000215,Data Steward C,Open
ACC000216,Data Steward A,Open
ACC000217,Data Steward A,Resolved
ACC000218,Data Steward A,In Review
ACC000219,Data Steward A,Resolved
ACC000220,Data Steward A,Resolved
ACC000221,Data Steward B,Resolved
ACC000222,Data Steward A,Open
ACC000223,Data Steward A,Open
ACC000224,Data Steward B,Resolved
ACC000225,Data Steward A,Resolved
ACC000226,Data Steward A,In Review
ACC000227,Data Steward B,Resolved
ACC000228,Data Steward B,Resolved
ACC000229,Data Steward A,Open
ACC000230,Data Steward B,In Review
ACC000231,Data Steward B,Open
ACC000232,Data Steward B,In Review
ACC000233,Data Steward A,Resolved
ACC000234,Data Steward C,Open
ACC000235,Data Steward C,Resolved
ACC000236,Data Steward A,In Review
ACC000237,Data Steward B,Open
ACC000238,Data Steward C,Open
ACC000239,Data Steward B,Resolved
ACC000240,Data Steward C,Resolved
ACC000241,Data Steward A,Resolved
ACC000242,Data Steward C,Open
ACC000243,Data Steward B,In Review
ACC000244,Data Steward A,In Review
ACC000245,Data Steward A,In Review
ACC000246,Data Steward A,Resolved
ACC000247,Data Steward B,Open
ACC000248,Data Steward C,In Review
ACC000249,Data Steward B,Open
ACC000250,Data Steward A,Open
ACC000251,Data Steward C,Resolved
ACC000252,Data Steward A,Resolved
ACC000253,Data Steward B,Resolved
ACC000254,Data Steward A,Resolved
ACC000255,Data Steward B,In Review
ACC000256,Data Steward B,Open
ACC000257,Data Steward B,Resolved
ACC000258,Data Steward B,Open
ACC000259,Data Steward B,Resolved
ACC000260,Data Steward B,Resolved
ACC000261,Data Steward C,Open
ACC000262,Data Steward B,In Review
ACC000263,Data Steward A,Open
ACC000264,Data Steward C,Resolved
ACC000265,Data Steward C,Resolved
ACC000266,Data Steward A,In Review
ACC000267,Data Steward B,In Review
ACC000268,Data Steward A,In Review
ACC000269,Data Steward C,Resolved
ACC000270,Data Steward B,Resolved
ACC000271,Data Steward C,Resolved
ACC000272,Data Steward A,Resolved
ACC000273,Data Steward A,Open
ACC000274,Data Steward C,In Review
ACC000275,Data Steward C,In Review
ACC000276,Data Steward C,In Review
ACC000277,Data Steward A,Open
ACC000278,Data Steward A,Resolved
ACC000279,Data Steward C,Resolved
ACC000280,Data Steward C,Open
ACC000281,Data Steward C,In Review
ACC000282,Data Steward B,Resolved
ACC000283,Data Steward C,Open
ACC000284,Data Steward A,Resolved
ACC000285,Data Steward A,Resolved
ACC000286,Data Steward C,Resolved
ACC000287,Data Steward A,Resolved
ACC000288,Data Steward A,Open
ACC000289,Data Steward B,Resolved
ACC000290,Data Steward A,Resolved
ACC000291,Data Steward B,In Review
ACC000292,Data Steward A,Resolved
ACC000293,Data Steward B,Resolved
ACC000294,Data Steward B,Resolved
ACC000295,Data Steward C,Resolved
ACC000296,Data Steward A,Resolved
ACC000297,Data Steward A,Open
ACC000298,Data Steward B,Open
ACC000299,Data Steward C,In Review
ACC000300,Data Steward A,Open
ACC000301,Data Steward B,Open
ACC000302,Data Steward C,Open
ACC000303,Data Steward B,Resolved
ACC000304,Data Steward C,Resolved
ACC000305,Data Steward A,In Review
ACC000306,Data Steward C,Open
ACC000307,Data Steward B,Open
ACC000308,Data Steward C,Open
ACC000309,Data Steward C,Resolved
ACC000310,Data Steward C,In Review
ACC000311,Data Steward C,Resolved
ACC000312,Data Steward C,Resolved
ACC000313,Data Steward A,Open
ACC000314,Data Steward C,Open
ACC000315,Data Steward B,Resolved
ACC000316,Data Steward A,In Review
ACC000317,Data Steward B,Open
ACC000318,Data Steward C,Open
ACC000319,Data Steward C,Open
ACC000320,Data Steward A,Open
ACC000321,Data Steward B,In Review
ACC000322,Data Steward A,Resolved
ACC000323,Data Steward B,In Review
ACC000324,Data Steward C,In Review
ACC000325,Data Steward C,Resolved
ACC000326,Data Steward B,In Review
ACC000327,Data Steward B,Resolved
ACC000328,Data Steward A,Resolved
ACC000329,Data Steward C,In Review
