account_id,account_name,industry,country,annual_revenue,employee_count
ACC000001,Company 1,Manufacturing,India,422836577,33171
ACC000002,Company 2,Healthcare,USA,70154830,33204
ACC000003,Company 3,Retail,Germany,455364602,7380
ACC000004,Company 4,Technology,United Kingdom,16812622,32860
ACC000005,Company 5,Retail,United Kingdom,495680784,10254
ACC000006,Company 6,Manufacturing,United Kingdom,235638664,39940
ACC000007,Company 7,Manufacturing,USA,381983077,4334
ACC000008,Company 8,Technology,USA,24426433,34878
ACC000009,Company 9,Retail,Australia,152727108,6597
ACC000010,Company 10,Finance,Australia,430315101,7507
ACC000011,Company 11,Technology,Australia,495788674,30074
ACC000012,Company 12,Healthcare,India,347454741,3021
ACC000013,Company 13,Finance,Australia,450989230,46988
ACC000014,Company 14,Retail,Germany,52440965,38929
ACC000015,Company 15,Technology,UK,102969285,2141
ACC000016,Company 16,Retail,United Kingdom,435142307,45234
ACC000017,Company 17,Finance,United States,431973800,42734
ACC000018,Company 18,Finance,U.S.,333811802,25586
ACC000019,Company 19,Healthcare,United States,185320544,10301
ACC000020,Company 20,Healthcare,Australia,182802431,23506
ACC000021,Company 21,Technology,India,215638995,38608
ACC000022,Company 22,Technology,United Kingdom,267192309,8694
ACC000023,Company 23,Retail,Germany,97076437,370
ACC000024,Company 24,Manufacturing,U.S.,304612002,5042
ACC000025,Company 25,Technology,Germany,2257813,40976
ACC000026,Company 26,Technology,Germany,16168962,46941
ACC000027,Company 27,Healthcare,United Kingdom,46237902,45218
ACC000028,Company 28,Retail,United States,158690495,22461
ACC000029,Company 29,Healthcare,India,4477835,33615
ACC000030,Company 30,Retail,Australia,253186747,15572
ACC000031,Company 31,Retail,United Kingdom,336539010,38592
ACC000032,Company 32,Finance,United States,30573969,28147
ACC000033,Company 33,Finance,Germany,134010719,39634
ACC000034,Company 34,Technology,UK,41858292,39360
ACC000035,Company 35,Healthcare,Germany,86812585,47582
ACC000036,Company 36,Technology,UK,492568505,11626
ACC000037,Company 37,Finance,Germany,467505133,43767
ACC000038,Company 38,Retail,India,85375218,40833
ACC000039,Company 39,Finance,United Kingdom,144189586,38636
ACC000040,Company 40,Manufacturing,USA,110990308,42732
ACC000041,Company 41,Technology,Australia,445721112,973
ACC000042,Company 42,Finance,India,39889974,35859
ACC000043,Company 43,Retail,UK,133022598,40576
ACC000044,Company 44,Healthcare,U.S.,153134862,25562
ACC000045,Company 45,Finance,United Kingdom,306986960,38717
ACC000046,Company 46,Finance,India,418386340,26776
ACC000047,Company 47,Manufacturing,United States,487318879,8171
ACC000048,Company 48,Manufacturing,Germany,49883119,14556
ACC000049,Company 49,Finance,India,81364849,2792
ACC000050,Company 50,Healthcare,USA,262535921,40813
ACC000051,Company 51,Retail,USA,319783258,9002
ACC000052,Company 52,Healthcare,Germany,244986015,49254
ACC000053,Company 53,Healthcare,India,18462418,23214
ACC000054,Company 54,Manufacturing,U.S.,352896351,32995
ACC000055,Company 55,Manufacturing,United States,49931629,38142
ACC000056,Company 56,Technology,United States,218842013,20536
ACC000057,Company 57,Finance,United States,305980517,21330
ACC000058,Company 58,Manufacturing,India,292805341,12846
ACC000059,Company 59,Retail,India,43440478,3022
ACC000060,Company 60,Manufacturing,United Kingdom,342304983,34162
ACC000061,Company 61,Retail,India,293932076,27077
ACC000062,Company 62,Finance,U.S.,11889742,42771
ACC000063,Company 63,Technology,United States,72882751,43982
ACC000064,Company 64,Finance,India,227029884,49285
ACC000065,Company 65,Retail,UK,441177267,40473
ACC000066,Company 66,Healthcare,UK,350185258,35462
ACC000067,Company 67,Manufacturing,U.S.,240890426,34414
ACC000068,Company 68,Healthcare,United States,426334480,40292
ACC000069,Company 69,Healthcare,United States,178473514,12959
ACC000070,Company 70,Healthcare,Germany,428494188,23105
ACC000071,Company 71,Finance,UK,155206446,49373
ACC000072,Company 72,Finance,UK,424958240,34476
ACC000073,Company 73,Technology,USA,298330632,31166
ACC000074,Company 74,Finance,Australia,46664633,11591
ACC000075,Company 75,Finance,USA,490064791,41616
ACC000076,Company 76,Finance,United Kingdom,467131745,49910
ACC000077,Company 77,Manufacturing,United States,335556301,40404
ACC000078,Company 78,Finance,United States,417516693,17460
ACC000079,Company 79,Finance,Australia,247699056,44458
ACC000080,Company 80,Retail,U.S.,353056004,12309
ACC000081,Company 81,Technology,Australia,245563959,38807
ACC000082,Company 82,Manufacturing,India,201509012,18160
ACC000083,Company 83,Retail,United Kingdom,129016469,3228
ACC000084,Company 84,Retail,United States,75912527,49115
ACC000085,Company 85,Manufacturing,USA,479034031,49991
ACC000086,Company 86,Finance,Germany,196989914,26163
ACC000087,Company 87,Technology,United States,369786327,1848
ACC000088,Company 88,Retail,U.S.,237872243,14533
ACC000089,Company 89,Finance,Germany,169154062,35958
ACC000090,Company 90,Finance,U.S.,102374093,42777
ACC000091,Company 91,Finance,United Kingdom,54603799,49424
ACC000092,Company 92,Finance,United States,337246386,16040
ACC000093,Company 93,Finance,U.S.,170685577,6494
ACC000094,Company 94,Finance,United States,170071488,39908
ACC000095,Company 95,Healthcare,UK,314012071,44462
ACC000096,Company 96,Finance,Australia,9978802,2625
ACC000097,Company 97,Manufacturing,Australia,472046018,27658
ACC000098,Company 98,Healthcare,United States,361644444,17729
ACC000099,Company 99,Healthcare,United Kingdom,382330704,43467
ACC000100,Company 100,Technology,India,313897808,39515
ACC000101,Company 101,Retail,U.S.,498602112,9470
ACC000102,Company 102,Finance,Australia,100625316,31130
ACC000103,Company 103,Technology,USA,214960071,17261
ACC000104,Company 104,Technology,United States,484058438,1673
ACC000105,Company 105,Healthcare,United Kingdom,420395440,49407
ACC000106,Company 106,Manufacturing,India,25373992,33438
ACC000107,Company 107,Healthcare,Germany,301949524,38331
ACC000108,Company 108,Manufacturing,United States,259028773,15978
ACC000109,Company 109,Manufacturing,United States,306496175,14446
ACC000110,Company 110,Technology,U.S.,83330076,38304
ACC000111,Company 111,Manufacturing,India,179082374,23859
ACC000112,Company 112,Finance,UK,481253475,37828
ACC000113,Company 113,Finance,USA,465208164,10171
ACC000114,Company 114,Retail,U.S.,441148878,17816
ACC000115,Company 115,Finance,United Kingdom,276707551,28315
ACC000116,Company 116,Retail,USA,492229518,25666
ACC000117,Company 117,Retail,United States,42308233,21794
ACC000118,Company 118,Finance,India,494078052,14842
ACC000119,Company 119,Healthcare,India,82478045,37436
ACC000120,Company 120,Technology,UK,126670405,34030
ACC000121,Company 121,Retail,United States,356327345,6399
ACC000122,Company 122,Healthcare,India,165066530,23641
ACC000123,Company 123,Retail,Australia,351541443,29078
ACC000124,Company 124,Healthcare,Australia,463689914,22495
ACC000125,Company 125,Technology,Germany,144695183,45916
ACC000126,Company 126,Retail,U.S.,292681605,43137
ACC000127,Company 127,Technology,Australia,114338125,39796
ACC000128,Company 128,Manufacturing,India,42439849,9393
ACC000129,Company 129,Healthcare,U.S.,386736876,5464
ACC000130,Company 130,Finance,United States,347529202,41637
ACC000131,Company 131,Retail,India,451159619,6429
ACC000132,Company 132,Finance,UK,340486718,19785
ACC000133,Company 133,Retail,India,377022518,41761
ACC000134,Company 134,Healthcare,Australia,94161088,32058
ACC000135,Company 135,Technology,Australia,13954035,44596
ACC000136,Company 136,Finance,USA,110335482,9381
ACC000137,Company 137,Retail,United Kingdom,146826467,24022
ACC000138,Company 138,Healthcare,U.S.,287737598,10035
ACC000139,Company 139,Finance,USA,177886763,3842
ACC000140,Company 140,Manufacturing,Germany,367469886,45195
ACC000141,Company 141,Technology,USA,118653325,17652
ACC000142,Company 142,Retail,India,348038052,48383
ACC000143,Company 143,Technology,United States,73424203,29530
ACC000144,Company 144,Manufacturing,United Kingdom,67454794,40633
ACC000145,Company 145,Finance,United States,25638122,27067
ACC000146,Company 146,Finance,India,39706357,25953
ACC000147,Company 147,Finance,U.S.,71839168,44574
ACC000148,Company 148,Technology,Germany,445480275,20779
ACC000149,Company 149,Retail,Australia,73856681,44028
ACC000150,Company 150,Technology,UK,428931562,47487
ACC000151,Company 151,Finance,Australia,173948158,40436
ACC000152,Company 152,Technology,Australia,103046262,23930
ACC000153,Company 153,Finance,United Kingdom,219347500,49118
ACC000154,Company 154,Technology,United Kingdom,100465342,40779
ACC000155,Company 155,Finance,Germany,209201972,48621
ACC000156,Company 156,Technology,Germany,212691840,35922
ACC000157,Company 157,Healthcare,United States,318031319,32676
ACC000158,Company 158,Finance,Germany,123731281,20671
ACC000159,Company 159,Finance,Australia,34110593,6246
ACC000160,Company 160,Finance,USA,133210179,21082
ACC000161,Company 161,Technology,U.S.,90957778,11370
ACC000162,Company 162,Finance,India,364339360,40517
ACC000163,Company 163,Manufacturing,Germany,375851961,19766
ACC000164,Company 164,Finance,United Kingdom,292615413,12472
ACC000165,Company 165,Finance,India,401745709,20211
ACC000166,Company 166,Finance,India,59230085,19488
