lead_id,lead_name,source,status
LEA000001,Lead 0,Web,Qualified
LEA000002,Lead 1,Web,Working
LEA000003,Lead 2,Referral,Working
LEA000004,Lead 3,Event,Converted
LEA000005,Lead 4,Event,Converted
LEA000006,Lead 5,Referral,Converted
LEA000007,Lead 6,Web,New
LEA000008,Lead 7,LinkedIn,New
LEA000009,Lead 8,LinkedIn,New
LEA000010,Lead 9,Web,Working
LEA000011,Lead 10,LinkedIn,Qualified
LEA000012,Lead 11,LinkedIn,Qualified
LEA000013,Lead 12,Event,Converted
LEA000014,Lead 13,Event,Converted
LEA000015,Lead 14,Referral,New
LEA000016,Lead 15,Web,Working
LEA000017,Lead 16,LinkedIn,New
LEA000018,Lead 17,LinkedIn,Qualified
LEA000019,Lead 18,Referral,Working
LEA000020,Lead 19,Web,Qualified
LEA000021,Lead 20,Event,Qualified
LEA000022,Lead 21,LinkedIn,Converted
LEA000023,Lead 22,Web,Converted
LEA000024,Lead 23,Event,New
LEA000025,Lead 24,Web,New
LEA000026,Lead 25,Web,Qualified
LEA000027,Lead 26,Event,Working
LEA000028,Lead 27,Event,Qualified
LEA000029,Lead 28,Web,Converted
LEA000030,Lead 29,Event,Working
LEA000031,Lead 30,Web,Converted
LEA000032,Lead 31,Referral,Converted
LEA000033,Lead 32,Event,Working
LEA000034,Lead 33,Event,New
LEA000035,Lead 34,Web,New
LEA000036,Lead 35,LinkedIn,New
LEA000037,Lead 36,LinkedIn,Converted
LEA000038,Lead 37,Referral,Working
LEA000039,Lead 38,LinkedIn,Working
LEA000040,Lead 39,Referral,Working
LEA000041,Lead 40,Referral,Converted
LEA000042,Lead 41,LinkedIn,Converted
LEA000043,Lead 42,Referral,Working
LEA000044,Lead 43,Referral,Converted
LEA000045,Lead 44,LinkedIn,Working
LEA000046,Lead 45,Event,New
LEA000047,Lead 46,Web,New
LEA000048,Lead 47,Web,Working
LEA000049,Lead 48,Event,Working
LEA000050,Lead 49,Web,New
LEA000051,Lead 50,LinkedIn,Converted
LEA000052,Lead 51,Event,Working
LEA000053,Lead 52,Event,Converted
LEA000054,Lead 53,Referral,Working
LEA000055,Lead 54,LinkedIn,Working
LEA000056,Lead 55,Event,Working
LEA000057,Lead 56,LinkedIn,Working
LEA000058,Lead 57,Referral,New
LEA000059,Lead 58,LinkedIn,New
LEA000060,Lead 59,Event,Qualified
LEA000061,Lead 60,Event,New
LEA000062,Lead 61,LinkedIn,New
LEA000063,Lead 62,Referral,Qualified
LEA000064,Lead 63,Web,Qualified
LEA000065,Lead 64,Event,New
LEA000066,Lead 65,Event,Converted
LEA000067,Lead 66,Event,New
LEA000068,Lead 67,Referral,Working
LEA000069,Lead 68,Referral,Converted
LEA000070,Lead 69,Event,Working
LEA000071,Lead 70,Event,Qualified
LEA000072,Lead 71,LinkedIn,Converted
LEA000073,Lead 72,Referral,Converted
LEA000074,Lead 73,LinkedIn,Qualified
LEA000075,Lead 74,LinkedIn,New
LEA000076,Lead 75,Web,Working
LEA000077,Lead 76,Web,Converted
LEA000078,Lead 77,Referral,Converted
LEA000079,Lead 78,Referral,Converted
LEA000080,Lead 79,Referral,Qualified
LEA000081,Lead 80,LinkedIn,Qualified
LEA000082,Lead 81,Event,Converted
LEA000083,Lead 82,Web,Qualified
LEA000084,Lead 83,LinkedIn,New
LEA000085,Lead 84,Web,Working
LEA000086,Lead 85,LinkedIn,Qualified
LEA000087,Lead 86,LinkedIn,New
LEA000088,Lead 87,Event,New
LEA000089,Lead 88,Event,Converted
LEA000090,Lead 89,LinkedIn,Converted
LEA000091,Lead 90,Event,Working
LEA000092,Lead 91,Web,Working
LEA000093,Lead 92,Web,Qualified
LEA000094,Lead 93,LinkedIn,Converted
LEA000095,Lead 94,Referral,Converted
LEA000096,Lead 95,LinkedIn,New
LEA000097,Lead 96,Web,Converted
LEA000098,Lead 97,Event,New
LEA000099,Lead 98,Referral,Converted
LEA000100,Lead 99,LinkedIn,Working
LEA000101,Lead 100,LinkedIn,New
LEA000102,Lead 101,Referral,Qualified
LEA000103,Lead 102,Referral,Qualified
LEA000104,Lead 103,Web,Qualified
LEA000105,Lead 104,LinkedIn,Working
